"","ID.","NAME","Type","dvera","dwat","v1","v2","v3","v4","v5","v6","COLLAR","year","SPECIES"
"63",63,"520-2015",1,0.749347448,5.635771128,32,68,0,0,0,0,520,2015,1
"64",64,"520-2015",1,8.228232079,1.795008332,100,0,0,0,0,0,520,2015,1
"65",65,"520-2015",1,0.644675056,6.864710907,0,100,0,0,0,0,520,2015,1
"66",66,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"67",67,"520-2015",1,8.618398465,3.712851798,62,38,0,0,0,0,520,2015,1
"68",68,"520-2015",1,10.59566793,4.446248559,100,0,0,0,0,0,520,2015,1
"69",69,"520-2015",1,11.5872323,5.075594281,100,0,0,0,0,0,520,2015,1
"70",70,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"71",71,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"72",72,"520-2015",1,6.000082581,3.674428964,18,82,0,0,0,0,520,2015,1
"73",73,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"74",74,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"75",75,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"76",76,"520-2015",1,5.529962552,3.429164305,100,0,0,0,0,0,520,2015,1
"77",77,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"78",78,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"79",79,"520-2015",1,8.831062958,2.738456635,100,0,0,0,0,0,520,2015,1
"80",80,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"81",81,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"82",82,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"83",83,"520-2015",1,8.228232079,1.795008332,100,0,0,0,0,0,520,2015,1
"84",84,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"85",85,"520-2015",1,5.631969785,3.90018415,100,0,0,0,0,0,520,2015,1
"86",86,"520-2015",1,7.328612585,2.282531075,93,7,0,0,0,0,520,2015,1
"87",87,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"88",88,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"89",89,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"90",90,"520-2015",1,5.529962552,3.429164305,100,0,0,0,0,0,520,2015,1
"91",91,"520-2015",1,7.873504265,2.739327254,100,0,0,0,0,0,520,2015,1
"92",92,"520-2015",1,6.000082581,3.674428964,18,82,0,0,0,0,520,2015,1
"93",93,"520-2015",1,8.228232079,1.795008332,100,0,0,0,0,0,520,2015,1
"94",94,"520-2015",1,4.497637663,2.460740331,83,0,17,0,0,0,520,2015,1
"95",95,"520-2015",1,5.49765155,2.459751017,100,0,0,0,0,0,520,2015,1
"96",96,"520-2015",1,4.537122976,3.429863729,70,0,30,0,0,0,520,2015,1
"97",97,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"98",98,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"99",99,"520-2015",1,6.525006426,3.645906208,100,0,0,0,0,0,520,2015,1
"100",100,"520-2015",1,8.831062958,2.738456635,100,0,0,0,0,0,520,2015,1
"101",101,"520-2015",1,9.60585576,3.972064138,100,0,0,0,0,0,520,2015,1
"102",102,"520-2015",1,8.518600799,4.421190766,66,34,0,0,0,0,520,2015,1
"103",103,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"104",104,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"105",105,"520-2015",1,3.497623776,2.83614437,42,0,58,0,0,0,520,2015,1
"106",106,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"107",107,"520-2015",1,2.568446563,4.214048043,100,0,0,0,0,0,520,2015,1
"108",108,"520-2015",1,3.548360949,3.709559645,85,0,15,0,0,0,520,2015,1
"109",109,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"110",110,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"111",111,"520-2015",1,5.556272388,1.529939792,100,0,0,0,0,0,520,2015,1
"112",112,"520-2015",1,1.613283313,4.874315379,100,0,0,0,0,0,520,2015,1
"113",113,"520-2015",1,2.497609889,3.469978054,81,0,19,0,0,0,520,2015,1
"114",114,"520-2015",1,4.497637663,2.460740331,83,0,17,0,0,0,520,2015,1
"115",115,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"116",116,"520-2015",1,3.497623776,2.83614437,42,0,58,0,0,0,520,2015,1
"117",117,"520-2015",1,4.497637663,2.460740331,83,0,17,0,0,0,520,2015,1
"118",118,"520-2015",1,1.707486847,3.785677906,49,0,51,0,0,0,520,2015,1
"119",119,"520-2015",1,1.707486847,3.785677906,49,0,51,0,0,0,520,2015,1
"120",120,"520-2015",1,4.497637663,2.460740331,83,0,17,0,0,0,520,2015,1
"121",121,"520-2015",1,0.49929608,5.517316137,60,38,2,0,0,0,520,2015,1
"122",122,"520-2015",1,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"123",123,"520-2015",1,4.537122976,3.429863729,70,0,30,0,0,0,520,2015,1
"124",124,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"125",125,"520-2015",1,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"126",126,"520-2015",1,4.721665627,4.261287754,94,6,0,0,0,0,520,2015,1
"127",127,"520-2015",1,5.099563789,4.416209116,84,16,0,0,0,0,520,2015,1
"128",128,"520-2015",1,9.60585576,3.972064138,100,0,0,0,0,0,520,2015,1
"129",129,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"130",130,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"131",131,"520-2015",1,9.516413557,4.873722098,100,0,0,0,0,0,520,2015,1
"132",132,"520-2015",1,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"133",133,"520-2015",1,3.548360949,3.709559645,85,0,15,0,0,0,520,2015,1
"134",134,"520-2015",1,9.60585576,3.972064138,100,0,0,0,0,0,520,2015,1
"135",135,"520-2015",1,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"136",136,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"137",137,"520-2015",1,9.60585576,3.972064138,100,0,0,0,0,0,520,2015,1
"138",138,"520-2015",1,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"139",139,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"140",140,"520-2015",1,3.781261695,4.616503672,100,0,0,0,0,0,520,2015,1
"141",141,"520-2015",1,3.781261695,4.616503672,100,0,0,0,0,0,520,2015,1
"142",142,"520-2015",1,9.797108219,3.080131083,100,0,0,0,0,0,520,2015,1
"143",143,"520-2015",1,9.60585576,3.972064138,100,0,0,0,0,0,520,2015,1
"144",144,"520-2015",1,2.881092971,5.04712058,100,0,0,0,0,0,520,2015,1
"145",145,"520-2015",1,7.634209412,3.713484668,18,82,0,0,0,0,520,2015,1
"146",146,"520-2015",1,2.206952511,7.273296341,0,0,38,0,0,62,520,2015,1
"147",147,"520-2015",1,0.49929608,5.517316137,60,38,2,0,0,0,520,2015,1
"148",148,"520-2015",1,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"149",149,"520-2015",1,3.781261695,4.616503672,100,0,0,0,0,0,520,2015,1
"150",150,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"151",151,"520-2015",1,2.074632977,5.610166065,96,4,0,0,0,0,520,2015,1
"152",152,"520-2015",1,4.537122976,3.429863729,70,0,30,0,0,0,520,2015,1
"153",153,"520-2015",1,4.537122976,3.429863729,70,0,30,0,0,0,520,2015,1
"154",154,"520-2015",1,2.282669404,8.638047266,0,0,0,0,0,100,520,2015,1
"155",155,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
