"","ï..id","sp","count1","count2","count3","count4","count5","count6","count7","count8","count9","count10","count11","count12","count13","count14","count15","count16","count17","count18","count.19","count.20","count.21","count.22","count.23","count.24","count.25","dvera_mean","dwat_mean","v1_sum","v2_sum","v3_sum","v4_sum","v5_sum","v6_sum","year","typeuse","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25"
"29","C123","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64900673253657,8.41027575272194,21,79,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","C123","jabali",NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64900673253657,8.41027575272194,21,79,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","C125","ciervo",NA,NA,NA,NA,NA,NA,2,0,1,4,0,0,0,2,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,2.50252607321835,10.8018549044554,0,0,95,0,0,5,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"32","C125","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.50252607321835,10.8018549044554,0,0,95,0,0,5,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"33","C125","jabali",NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,2.50252607321835,10.8018549044554,0,0,95,0,0,5,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"34","C142","ciervo",6,1,2,NA,NA,NA,0,1,2,1,4,1,5,0,0,4,1,3,NA,NA,NA,NA,NA,NA,NA,18.038087595407,6.12412488937254,91,0,9,0,0,0,0,1,1,2,3,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"35","C142","gamo",0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.038087595407,6.12412488937254,91,0,9,0,0,0,0,1,1,2,3,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"36","C142","jabali",4,1,1,NA,NA,NA,0,2,7,15,14,5,3,3,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,18.038087595407,6.12412488937254,91,0,9,0,0,0,0,1,1,2,3,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"37","C144","ciervo",NA,NA,NA,NA,NA,NA,0,2,5,3,6,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8735144490494,10.394345413424,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","C144","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8735144490494,10.394345413424,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","C144","jabali",NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8735144490494,10.394345413424,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","C145","ciervo",NA,NA,NA,NA,NA,NA,5,3,15,5,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51897783789218,12.8993974419229,0,63,37,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","C145","gamo",NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51897783789218,12.8993974419229,0,63,37,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","C145","jabali",NA,NA,NA,NA,NA,NA,4,7,9,8,11,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51897783789218,12.8993974419229,0,63,37,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","C146","ciervo",0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20814325930247,13.3462296751566,0,0,69,0,0,31,0,3,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","C146","gamo",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20814325930247,13.3462296751566,0,0,69,0,0,31,0,3,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
